﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"New Business Advisers","https://firstfinancialptyltd.sharepoint.com/sites/NewBusinessAdvisers","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:03 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"New Xplan Layout","https://firstfinancialptyltd.sharepoint.com/sites/NewXplanLayout","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:34:09 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Not AR's or staff","https://firstfinancialptyltd.sharepoint.com/sites/notarsorstaff","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:34:16 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","4",,"Off"
"Office Management","https://firstfinancialptyltd.sharepoint.com/sites/OfficeManagement","False",,"Open","0.00",,"","Team site","1/21/2025 12:00:00 AM","5/24/2021 11:23:27 PM","Office Management Owners","25600","0.00","True","0","0","0","16",,"On"
"Office Move","https://firstfinancialptyltd.sharepoint.com/sites/OfficeMove","True",,"Open","0.00",,"","Team site","12/12/2024 12:00:00 AM","11/13/2024 6:22:51 AM","Office Move Owners","25600","0.00","True","0","0","0","4",,"On"
"Office Move","https://firstfinancialptyltd.sharepoint.com/sites/OfficeMove2","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:31:56 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Office Move 90 Collins Street","https://firstfinancialptyltd.sharepoint.com/sites/OfficeMove90CollinsStreet","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:36:43 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Office Tasks","https://firstfinancialptyltd.sharepoint.com/sites/OfficeTasks","False",,"Open","0.01",,"","Team site","1/8/2025 12:00:00 AM","7/12/2023 10:48:53 PM","Office Tasks Owners","25600","0.00","True","0","0","0","12",,"On"
"Onboarding","https://firstfinancialptyltd.sharepoint.com/sites/Onboarding","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:22:32 AM","Onboarding Owners","25600","0.00","True","0","0","0","6",,"On"
"Onboarding & induction process","https://firstfinancialptyltd.sharepoint.com/sites/Onboardinginductionprocess","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:03 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
