﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"Testing for cutover","https://firstfinancialptyltd.sharepoint.com/sites/testcutover","False",,"Open","0.00",,"","Team site",,"12/7/2024 5:27:11 AM","Testing for cutover Owners","25600","0.00","True","0","0","0","2",,"On"
"The Group Hub","https://firstfinancialptyltd.sharepoint.com/sites/TheGroupHub","False",,"Open","31.96",,"","Team site","7/5/2026 12:00:00 AM","4/30/2024 4:24:44 AM","The Group Hub Owners","25600","0.12","True","1166","2038","28","1068",,"On"
"The Group Hub Admins","https://firstfinancialptyltd.sharepoint.com/sites/thegrouphubadmins","False",,"Open","0.00",,"","Team site","8/24/2025 12:00:00 AM","8/21/2025 1:36:56 AM","The Group Hub Admins Owners","25600","0.00","True","0","0","0","3",,"On"
"The Jerryatrics","https://firstfinancialptyltd.sharepoint.com/sites/TheJerryatrics","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:59 AM","The Jerryatrics Owners","25600","0.00","True","0","0","0","5",,"On"
"The Juddernaughts","https://firstfinancialptyltd.sharepoint.com/sites/TheJuddernaughts","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:55 AM","The Juddernaughts Owners","25600","0.00","True","0","0","0","5",,"On"
"The Pod","https://firstfinancialptyltd.sharepoint.com/sites/ThePod","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:07:20 AM","The Pod Owners","25600","0.00","True","0","0","0","5",,"On"
"Times Tables","https://firstfinancialptyltd.sharepoint.com/sites/TimesTables","True",,"Open","0.00",,"","Team site",,"11/13/2024 6:08:02 AM","Times Tables Owners","25600","0.00","True","0","0","0","5",,"On"
"TO DO","https://firstfinancialptyltd.sharepoint.com/sites/TODO","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","2/10/2021 10:22:52 PM","TO DO Owners","25600","0.00","True","0","0","0","13",,"On"
"To Do List","https://firstfinancialptyltd.sharepoint.com/sites/ToDoList","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:32:42 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"To Do List","https://firstfinancialptyltd.sharepoint.com/sites/ToDoList778","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:16 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"VersionCleanup","https://firstfinancialptyltd.sharepoint.com/sites/VersionCleanup","False",,"Open","0.01","Mohit Joshi","","Communication site",,"7/7/2026 7:39:47 AM","Mohit Joshi","25600","0.00","False",,,,,,"Off"
"W&S Client Service Team","https://firstfinancialptyltd.sharepoint.com/sites/WSClientServiceTeam","True",,"Open","1.03",,"","Team site","7/2/2026 12:00:00 AM","11/10/2025 5:29:09 AM","W&S Client Service Team Owners","25600","0.00","True","3","7","3","135",,"On"
"Wealth Management","https://firstfinancialptyltd.sharepoint.com/sites/WealthManagement","True",,"Open","1222.77",,"","Team site","7/5/2026 12:00:00 AM","7/18/2022 1:02:19 AM","Wealth Management Owners","25600","4.78","True","19266","1473","16","1060000",,"On"
"Wealth Management - June Restore","https://firstfinancialptyltd.sharepoint.com/sites/WealthManagement-JuneRestore","True",,"Open","64.95",,"","Team site","7/5/2026 12:00:00 AM","6/24/2026 6:06:55 AM","Wealth Management - June Restore Owners","25600","0.25","True","2","5","2","75983",,"On"
"Webinar Content","https://firstfinancialptyltd.sharepoint.com/sites/NewXplanLayout2","True",,"Open","0.00",,"","Team site",,"12/7/2024 6:43:20 AM","Webinar Content Owners","25600","0.00","True","0","0","0","3",,"On"
"Whittle & Skok","https://firstfinancialptyltd.sharepoint.com/sites/WhittleSkok","True","3","Open","459.44",,"","Team site","7/5/2026 12:00:00 AM","11/2/2025 11:08:24 PM","Whittle & Skok Owners","25600","1.79","True","2484","50","8","228887",,"On"
"Wholesale Distribution","https://firstfinancialptyltd.sharepoint.com/sites/WholesaleDistribution","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:33:18 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Workflow","https://firstfinancialptyltd.sharepoint.com/sites/Workflow","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","4/30/2024 6:29:36 AM","Workflow Owners","25600","0.00","True","0","0","0","2",,"On"
"Xplan SharePoint Access","https://firstfinancialptyltd.sharepoint.com/sites/xplan-sharepoint-group","False",,"Open","0.00",,"","Team site","8/19/2024 12:00:00 AM","8/16/2022 1:45:53 AM","Xplan SharePoint Access Owners","25600","0.00","True","0","0","0","8",,"On"
